"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 20:28:49 GMT 2024","Wed Oct 02 20:28:49 GMT 2024","0","Autosharding: Running Nodes","Different clusters and topics","","","","random auto sharding 6 - Cluster ID: 10, Content Topic: /app91/5/topic491/xml",""
"passed","Wed Oct 02 20:29:05 GMT 2024","Wed Oct 02 20:29:05 GMT 2024","1","Waku Light Push: Single Node","","","","","Throws when trying to push message with empty payload",""
"passed","Wed Oct 02 20:25:51 GMT 2024","Wed Oct 02 20:25:51 GMT 2024","0","filterPeersByDiscovery function","","","","","should return one bootstrap peer, and all non-boostrap peers, when numPeers is 0 & maxBootstrap is 1",""
"passed","Wed Oct 02 20:29:53 GMT 2024","Wed Oct 02 20:29:53 GMT 2024","0","Waku Store, sorting","","","","","Ordered Callback sorting by timestamp while page direction is false",""
"passed","Wed Oct 02 20:28:12 GMT 2024","Wed Oct 02 20:28:12 GMT 2024","0","Waku Filter: Peer Management: E2E","","","","","Tracks peer failures correctly",""
"passed","Wed Oct 02 20:27:39 GMT 2024","Wed Oct 02 20:27:39 GMT 2024","1","Metadata Protocol","connections","","","","same cluster, different shard: nodes connect",""
"passed","Wed Oct 02 20:25:35 GMT 2024","Wed Oct 02 20:25:35 GMT 2024","0","shardInfoToPubsubTopics","","","","","should handle clusterId, application and version for autosharding with cluster iD 1",""
"passed","Wed Oct 02 20:29:05 GMT 2024","Wed Oct 02 20:29:05 GMT 2024","1","Waku Light Push: Single Node","","","","","Push message with JSON payload",""
"passed","Wed Oct 02 20:25:44 GMT 2024","Wed Oct 02 20:25:44 GMT 2024","0","ENR","Txt codec","","","","should decode valid ENR with multiaddrs successfully [shared test vector]",""
"passed","Wed Oct 02 20:29:05 GMT 2024","Wed Oct 02 20:29:05 GMT 2024","1","Waku Light Push: Single Node","","","","","Push message with custom timestamp: 1727897221935",""
"passed","Wed Oct 02 20:27:08 GMT 2024","Wed Oct 02 20:27:08 GMT 2024","0","Public methods","","","","","getPeersByDiscovery",""
"passed","Wed Oct 02 20:25:43 GMT 2024","Wed Oct 02 20:25:43 GMT 2024","1","ENR waku2 codec","Decoding","","","","should be able to decode the field with only LIGHTPUSH set to true",""
"passed","Wed Oct 02 20:26:03 GMT 2024","Wed Oct 02 20:26:03 GMT 2024","1","Local Storage Discovery","Compliance Tests","interface-peer-discovery compliance tests","","","should not receive a peer event before start",""
"passed","Wed Oct 02 20:25:51 GMT 2024","Wed Oct 02 20:25:51 GMT 2024","0","StreamManager","","","","","should create a new stream if no existing for protocol found",""
"passed","Wed Oct 02 20:25:38 GMT 2024","Wed Oct 02 20:25:38 GMT 2024","1","RFC Test Vectors","","","","","Waku message hash computation (meta size of 12 bytes)",""
"passed","Wed Oct 02 20:25:35 GMT 2024","Wed Oct 02 20:25:35 GMT 2024","1","Relay Shard codec","","","","","should throw an error for insufficient data",""
"broken","Wed Oct 02 20:30:31 GMT 2024","Wed Oct 02 20:30:31 GMT 2024","0","Node Health Status Matrix Tests","","","","","LightPush: 3 peers, Filter: 3 peers - Expected: SufficientlyHealthy",""
"passed","Wed Oct 02 20:25:35 GMT 2024","Wed Oct 02 20:25:35 GMT 2024","0","ensurePubsubTopicIsConfigured","","","","","should not throw an error when the topic is within a list of configured topics",""
"passed","Wed Oct 02 20:25:35 GMT 2024","Wed Oct 02 20:25:35 GMT 2024","0","pubsubTopicToSingleShardInfo with various invalid formats","","","","","should throw an error for non-numeric shard: /waku/2/rs/1/$",""
"passed","Wed Oct 02 20:25:35 GMT 2024","Wed Oct 02 20:25:35 GMT 2024","0","contentTopicToShardIndex","","","","","should correctly map /statusim/1/community/cbor to shard index 4",""
"passed","Wed Oct 02 20:25:44 GMT 2024","Wed Oct 02 20:25:44 GMT 2024","0","ENR","Location multiaddr","","","","should properly create location multiaddrs - tcp6",""
"passed","Wed Oct 02 20:25:35 GMT 2024","Wed Oct 02 20:25:35 GMT 2024","0","ensureValidContentTopic","","","","","does not throw on valid cases",""
"passed","Wed Oct 02 20:25:44 GMT 2024","Wed Oct 02 20:25:44 GMT 2024","0","ENR","waku2 key round trip","","","","should set field with only RELAY enabled",""
"passed","Wed Oct 02 20:25:51 GMT 2024","Wed Oct 02 20:25:51 GMT 2024","0","filterPeersByDiscovery function","","","","","should return all peers when numPeers is 0",""
"passed","Wed Oct 02 20:26:29 GMT 2024","Wed Oct 02 20:26:29 GMT 2024","1","Events","waku:connection","","","","should emit events and trasition isConnected state when has peers or no peers",""
"passed","Wed Oct 02 20:29:52 GMT 2024","Wed Oct 02 20:29:52 GMT 2024","1","Waku Store, error handling","","","","","Query with Promise Callback, Wrong PubsubTopic",""
"passed","Wed Oct 02 20:26:09 GMT 2024","Wed Oct 02 20:26:09 GMT 2024","1","Symmetric Encryption","","","","","Check meta is set [symmetric]",""
