"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should hash """" with n=1 and maxValue=100 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","0","should hash """" with n=0 and maxValue=10000 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","0","should handle empty peer infos gracefully","PeerExchange","Wed Sep 24 23:11:14 UTC 2025","passed","Wed Sep 24 23:11:14 UTC 2025","","query","",""
"","0","should create QueryOnConnect instance with all required parameters","QueryOnConnect","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","constructor","",""
"","0","Wait given interval before re-trying","Retry Manager","Wed Sep 24 23:11:54 UTC 2025","passed","Wed Sep 24 23:11:54 UTC 2025","","","",""
"","0","should start periodic discovery on start","PeerExchangeDiscovery","Wed Sep 24 23:11:15 UTC 2025","passed","Wed Sep 24 23:11:15 UTC 2025","","continuous discovery interval","",""
"","1","should wait for Store peer to be connected","waitForRemotePeer","Wed Sep 24 23:11:54 UTC 2025","passed","Wed Sep 24 23:11:54 UTC 2025","","","",""
"","0","should correctly map /statusim/1/community/cbor to shard index 4","contentTopicToShardIndex","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","0","should process up to 3 peers at once","Dialer","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","queue processing","",""
"","1","should save new peer to store","DiscoveryDialer","Wed Sep 24 23:11:03 UTC 2025","passed","Wed Sep 24 23:11:03 UTC 2025","","updatePeerStore","",""
"","0","should handle dial errors gracefully","ConnectionLimiter","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","dialPeersFromStore","",""
"","0","throws if store query response has error status","StoreCore","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","queryPerPage","",""
"","14","should handle onConnected and onDisconnected","PeerManager","Wed Sep 24 23:11:52 UTC 2025","passed","Wed Sep 24 23:11:52 UTC 2025","","","",""
"","0","should return false when pubsub topic parsing fails","ShardReader","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","isPeerOnTopic","",""
"","0","should handle errors when globalThis is not available","NetworkMonitor","Wed Sep 24 23:11:03 UTC 2025","passed","Wed Sep 24 23:11:03 UTC 2025","","start","",""
"","0","should return false when peer is on different cluster","ShardReader","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","isPeerOnNetwork","",""
"","1","ends if response has no messages","StoreCore","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","queryPerPage","",""
"","0","should sort peers by ping value","ConnectionManager","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","getConnectedPeers","",""
"","0","should drop excess bootstrap peers if over maxBootstrapPeers","ConnectionLimiter","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","maintainBootstrapConnections","",""
"","1","should set up event listeners when started","QueryOnConnect","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","start and stop","",""
"","0","should query peer with peer exchange protocol","PeerExchangeDiscovery","Wed Sep 24 23:11:15 UTC 2025","passed","Wed Sep 24 23:11:15 UTC 2025","","runQuery","",""
"","0","yields undefined for messages without content topic","StoreCore","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","queryPerPage","",""
"","0","First message is missed, then re-sent, should be ack'd","MessageChannel","Wed Sep 24 23:11:42 UTC 2025","passed","Wed Sep 24 23:11:42 UTC 2025","","reviewing ack status","",""
"","0","should insert message id into causal history","MessageChannel","Wed Sep 24 23:11:42 UTC 2025","passed","Wed Sep 24 23:11:42 UTC 2025","","sending a message ","",""
"","0","should hash ""test123"" with n=5 and maxValue=10000 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","1","should successfully unsubscribe from an existing subscription","Filter SDK","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","","",""
"","0","should increase lamport timestamp","MessageChannel","Wed Sep 24 23:11:42 UTC 2025","passed","Wed Sep 24 23:11:42 UTC 2025","","receiving a message","",""
"","0","should create a new stream if no existing for protocol found","StreamManager","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","","",""
"","0","ENRTree (root): should error if DNS root entry is malformed","ENRTree","Wed Sep 24 23:11:14 UTC 2025","passed","Wed Sep 24 23:11:14 UTC 2025","","","",""
"","1","should successfully query peers and return peer infos","PeerExchange","Wed Sep 24 23:11:14 UTC 2025","passed","Wed Sep 24 23:11:14 UTC 2025","","query","",""
"","0","should allow a peer to be returned again after renewPeer is called","PeerManager","Wed Sep 24 23:11:52 UTC 2025","passed","Wed Sep 24 23:11:52 UTC 2025","","","",""
"","3","should update peer store before dialing","DiscoveryDialer","Wed Sep 24 23:11:03 UTC 2025","passed","Wed Sep 24 23:11:03 UTC 2025","","peer discovery handling","",""
"","1","should stop all internal components","ConnectionManager","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","stop","",""
"","0","should enable only peerCache when dns and peerExchange are disabled","Default Peer Discoveries","Wed Sep 24 23:11:51 UTC 2025","passed","Wed Sep 24 23:11:51 UTC 2025","","","",""
"","0","should hash ""!@#$%^&*()"" with n=5 and maxValue=1000 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","1","should create dialer with libp2p and shardReader","Dialer","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","constructor","",""
"","0","should not dial peers from store when browser is not connected","ConnectionLimiter","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","onWakuConnectionEvent","",""
"","0","should return the correct m/n for k = 2, targetError = 0.1","Probabilities","Wed Sep 24 23:11:35 UTC 2025","passed","Wed Sep 24 23:11:35 UTC 2025","","","",""
"","1","should initialize bloom filter with correct parameters","BloomFilter","Wed Sep 24 23:11:39 UTC 2025","passed","Wed Sep 24 23:11:39 UTC 2025","","","",""
"","0","should initialize with custom number of peers","PeerManager","Wed Sep 24 23:11:52 UTC 2025","passed","Wed Sep 24 23:11:52 UTC 2025","","","",""
"","2","Waku message hash computation (payload length 0)","Message Hash: RFC Test Vectors","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","","",""
"","0","should populate queue if has active dial","Dialer","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","dial","",""
"","1","Incoming message is emitted as received","Reliable Channel","Wed Sep 24 23:11:57 UTC 2025","passed","Wed Sep 24 23:11:57 UTC 2025","","","",""
"","0","should chunk queries when time window exceeds maxTimeLimit","Store","Wed Sep 24 23:11:54 UTC 2025","passed","Wed Sep 24 23:11:54 UTC 2025","","queryGenerator","",""
"","0","should start and setup intervals and event listeners","Filter Subscription","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","","",""
"","0","should check false positive rate","BloomFilter with special patterns","Wed Sep 24 23:11:39 UTC 2025","passed","Wed Sep 24 23:11:39 UTC 2025","","","",""
"","1","should be empty when created","Filter Subscription","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","","",""
"","0","should throw an error for invalid PubsubTopic format: /waku/2/rs","pubsubTopicToSingleShardInfo with various invalid formats","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","0","should decode valid enr with tcp successfully","ENR","Wed Sep 24 23:10:54 UTC 2025","passed","Wed Sep 24 23:10:54 UTC 2025","","Txt codec","",""
"","0","accepts valid message hash query","StoreQueryRequest validation","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","","",""
"","0","Encoder throws on empty string content topic","Ensures content topic is defined","Wed Sep 24 23:11:26 UTC 2025","passed","Wed Sep 24 23:11:26 UTC 2025","","","",""
"","1","should be able to encode the field with ALL protocols set to true","ENR waku2 codec","Wed Sep 24 23:10:53 UTC 2025","passed","Wed Sep 24 23:10:53 UTC 2025","","Encoding","",""
"","0","should maintain proper timestamps if all messages received","MessageChannel","Wed Sep 24 23:11:42 UTC 2025","skipped","Wed Sep 24 23:11:42 UTC 2025","","receiving a message","",""
"","0","Outgoing message is acknowledged","Reliable Channel","Wed Sep 24 23:11:57 UTC 2025","passed","Wed Sep 24 23:11:57 UTC 2025","","","",""
"","1","should create ping timers when pingKeepAlive > 0","KeepAliveManager","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","ping timer management","",""
"","0","should hash ""!@#$%^&*()"" with n=5 and maxValue=10000 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","0","should emit InMessageLost event with retrievalHint when timeout is exceeded","MessageChannel","Wed Sep 24 23:11:42 UTC 2025","passed","Wed Sep 24 23:11:42 UTC 2025","","Sweeping incoming buffer","",""
"","1","should hash ""test123"" with n=0 and maxValue=100 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","8","Waku message hash computation (meta size of 64 bytes)","Message Hash: RFC Test Vectors","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","","",""
"","0","should emit message when store reconnect event occurs and last query was over max time threshold","QueryOnConnect","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","end-to-end message emission tests","",""
"","1","should correctly map /app/20/sometopic/someencoding to shard index 0 with networkShards 1","contentTopicToShardIndex","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","1","should throw an error for non-numeric shard: /waku/2/rs/1/$","pubsubTopicToSingleShardInfo with various invalid formats","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","1","should clear dial history on start","Dialer","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","start","",""
"","1","should return false and handle errors gracefully","ConnectionManager","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","hangUp","",""
"","0","should perform ping and update peer store on timer","KeepAliveManager","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","ping timer management","",""
"","0","should be able to decode the field with only RELAY set to true","ENR waku2 codec","Wed Sep 24 23:10:53 UTC 2025","passed","Wed Sep 24 23:10:53 UTC 2025","","Decoding","",""
"","0","should handle messages with same timestamp ordered by messageId","MessageChannel","Wed Sep 24 23:11:42 UTC 2025","passed","Wed Sep 24 23:11:42 UTC 2025","","receiving a message","",""
"","0","should create relay timers when relay exists and relayKeepAlive > 0","KeepAliveManager","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","relay timer management","",""
"","1","should encodeTxt and decodeTxt","ENR","Wed Sep 24 23:10:54 UTC 2025","passed","Wed Sep 24 23:10:54 UTC 2025","","Txt codec","",""
"","0","should enable only dns and localPeerCache when peerExchange is disabled","Default Peer Discoveries","Wed Sep 24 23:11:51 UTC 2025","passed","Wed Sep 24 23:11:51 UTC 2025","","","",""
"","0","should throw an error for non-numeric shard: /waku/2/rs/1/-","pubsubTopicToSingleShardInfo with various invalid formats","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","0","should throw an error for invalid PubsubTopic format: /incorrect/format","pubsubTopicToSingleShardInfo with various invalid formats","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","0","Encoder error raises irrecoverable error","Reliable Channel","Wed Sep 24 23:11:57 UTC 2025","passed","Wed Sep 24 23:11:57 UTC 2025","","","",""
"","0","should work with stubbed retrieve function","QueryOnConnect","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","mock validation","",""
"","0","should start peer exchange discovery","PeerExchangeDiscovery","Wed Sep 24 23:11:15 UTC 2025","passed","Wed Sep 24 23:11:15 UTC 2025","","start","",""
"","1","should throw an error for non-numeric clusterId: /waku/2/rs/-/1","pubsubTopicToSingleShardInfo with various invalid formats","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","0","should hash ""Lorem ipsum dolor sit amet"" with n=0 and maxValue=1000 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","0","should properly create location multiaddrs - tcp4","ENR","Wed Sep 24 23:10:54 UTC 2025","passed","Wed Sep 24 23:10:54 UTC 2025","","Location multiaddr","",""
"","1","should handle dial errors gracefully","Dialer","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","dial","",""
"","0","should handle query errors","PeerExchangeDiscovery","Wed Sep 24 23:11:15 UTC 2025","passed","Wed Sep 24 23:11:15 UTC 2025","","query","",""
"","1","should return start time to last successful query since last query is less than max range","calculateTimeRange","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","","",""
"","0","Outgoing message is not emitted as acknowledged from own outgoing messages","Reliable Channel","Wed Sep 24 23:11:57 UTC 2025","passed","Wed Sep 24 23:11:57 UTC 2025","","","",""
"","0","should delegate to networkMonitor.isConnected()","ConnectionManager","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","isConnected","",""
"","0","rejects hash query with time filter","StoreQueryRequest validation","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","","",""
"","3","yields decoded messages","StoreCore","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","queryPerPage","",""
"","0","Outgoing message is not emitted as acknowledged from own outgoing messages","Reliable Channel: Encryption","Wed Sep 24 23:11:56 UTC 2025","passed","Wed Sep 24 23:11:56 UTC 2025","","","",""
"","0","should remove event listeners from globalThis","NetworkMonitor","Wed Sep 24 23:11:03 UTC 2025","passed","Wed Sep 24 23:11:03 UTC 2025","","stop","",""
"","1","should hash ""Lorem ipsum dolor sit amet"" with n=2 and maxValue=1000 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","0","should unlock peer and allow reuse after renewPeer","PeerManager","Wed Sep 24 23:11:52 UTC 2025","passed","Wed Sep 24 23:11:52 UTC 2025","","","",""
"","0","should invoke callbacks when receiving a message","Filter Subscription","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","","",""
"","0","should attach causal history and bloom filter to each message","MessageChannel","Wed Sep 24 23:11:42 UTC 2025","passed","Wed Sep 24 23:11:42 UTC 2025","","sending a message ","",""
"","1","Decoder throws on empty string content topic","Ensures content topic is defined","Wed Sep 24 23:11:26 UTC 2025","passed","Wed Sep 24 23:11:26 UTC 2025","","","",""
"","0","should set field with only STORE enabled","ENR","Wed Sep 24 23:10:54 UTC 2025","passed","Wed Sep 24 23:10:54 UTC 2025","","waku2 key round trip","",""
"","1","should be able to encode the field with only FILTER set to true","ENR waku2 codec","Wed Sep 24 23:10:53 UTC 2025","passed","Wed Sep 24 23:10:53 UTC 2025","","Encoding","",""
"","0","should start ping timers on peer connect","KeepAliveManager","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","peer connect event handling","",""
"","1","should set field with all protocols enabled","ENR","Wed Sep 24 23:10:54 UTC 2025","passed","Wed Sep 24 23:10:54 UTC 2025","","waku2 key round trip","",""
"","0","returns only open connection if one present","selectOpenConnection","Wed Sep 24 23:11:04 UTC 2025","passed","Wed Sep 24 23:11:04 UTC 2025","","","",""
"","1","Outgoing message is emitted as sending","Reliable Channel","Wed Sep 24 23:11:57 UTC 2025","passed","Wed Sep 24 23:11:57 UTC 2025","","","",""
"","1","should throw an error for non-numeric shard: /waku/2/rs/1/","pubsubTopicToSingleShardInfo with various invalid formats","Wed Sep 24 23:10:47 UTC 2025","passed","Wed Sep 24 23:10:47 UTC 2025","","","",""
"","0","should not dial on waku:connection if enableAutoRecovery is false, but should dial on start","ConnectionLimiter","Wed Sep 24 23:11:05 UTC 2025","passed","Wed Sep 24 23:11:05 UTC 2025","","autoRecovery flag","",""
"","1","should hash """" with n=0 and maxValue=100 correctly","hashN","Wed Sep 24 23:11:36 UTC 2025","passed","Wed Sep 24 23:11:36 UTC 2025","","","",""
"","0","should stop and cleanup resources","Filter Subscription","Wed Sep 24 23:11:53 UTC 2025","passed","Wed Sep 24 23:11:53 UTC 2025","","","",""
